collision_index,food_density
2025010562360,32
2025010562361,15
2025010562380,32
2025010562384,24
2025010562397,28
2025010562411,1
2025010562417,4
2025010562425,71
2025010562427,1
2025010562428,1
2025010562441,11
2025010562454,95
2025010562458,16
2025010562460,1
2025010562463,30
2025010562468,2
2025010562472,31
2025010562476,1
2025010562490,19
2025010562494,5
2025010562509,103
2025010562516,22
2025010562518,12
2025010562521,41
2025010562525,38
2025010562552,7
2025010562562,6
2025010562564,1
2025010562567,2
2025010562568,27
2025010562569,71
2025010562575,88
2025010562578,10
2025010562590,45
2025010562592,30
2025010562599,9
2025010562603,24
2025010562604,10
2025010562605,9
2025010562615,65
2025010562617,4
2025010562621,1
2025010562622,29
2025010562623,2
2025010562640,5
2025010562646,16
2025010562648,57
2025010562649,1
2025010562650,73
2025010562659,1
2025010562670,12
2025010562674,38
2025010562677,81
2025010562687,23
2025010562698,66
2025010562703,1
2025010562712,12
2025010562715,129
2025010562725,3
2025010562728,1
2025010562735,1
2025010562739,18
2025010562741,1
2025010562743,45
2025010562745,18
2025010562748,70
2025010562755,2
2025010562769,6
2025010562775,88
2025010562776,37
2025010562781,65
2025010562786,84
2025010562791,16
2025010562794,14
2025010562795,1
2025010562812,13
2025010562818,23
2025010562823,1
2025010562824,60
2025010562833,3
2025010562841,135
2025010562842,14
2025010562845,1
2025010562849,127
2025010562852,111
2025010562853,93
2025010562855,7
2025010562863,3
2025010562867,1
2025010562873,77
2025010562874,1
2025010562878,1
2025010562879,1
2025010562886,73
2025010562887,48
2025010562900,1
2025010562916,1
2025010562917,1
2025010562925,7
2025010562928,1
2025010562929,1
2025010562931,10
2025010562935,3
2025010562951,3
2025010562957,1
2025010562967,12
2025010562968,9
2025010562969,9
2025010562971,1
2025010562983,4
2025010562985,1
2025010562987,10
2025010562990,5
2025010562993,8
2025010563007,158
2025010563014,14
2025010563018,14
2025010563020,4
2025010563021,1
2025010563036,39
2025010563040,4
2025010563058,8
2025010563086,4
2025010563087,36
2025010563097,1
2025010563098,5
2025010563100,6
2025010563101,1
2025010563103,1
2025010563107,1
2025010563136,26
2025010563150,9
2025010563153,4
2025010563159,1
2025010563169,10
2025010563170,3
2025010563171,1
2025010563182,8
2025010563186,3
2025010563191,3
2025010563225,2
2025010563228,2
2025010563231,3
2025010563259,10
2025010563267,8
2025010563268,32
2025010563273,4
2025010563278,1
2025010563285,101
